,Facility Name,Location Type,Operator,Open,Hours of Operation,Accessibility,Restroom Type,Changing Stations,Additional Notes,Website,Latitude,Longitude,Address
858,Sunset Park Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.647683,-74.005022,"570, 44th Street, Brooklyn, Kings County, New York, 11220, United States"
859,Fort Greene Park Zone 3,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.692232,-73.974733,"Vistor Center, Washington Park, Brooklyn, Kings County, New York, 11205, United States"
860,Hudson River Park Pier 97 - Portaloo,Park,Hudson River Park,Year Round,6am - 1am,Fully Accessible,,,,,40.771441,-73.995107,"Pier 96, Hudson River Park Esplanade, Clinton, Manhattan Community Board 4, Manhattan, New York County, New York, 10069, United States"
861,Sol Bloom Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.789853,-73.968728,"72, West 92nd Street, Manhattan Community Board 7, Manhattan, New York County, New York, 10025, United States"
862,,,,,,,,,,,,,
863,"Bayside Marina, Cross Is. Pkwy",Park,NYC Parks Concessionaire,Seasonal,Concession Operating Hours,,,,,,40.779806,-73.767053,"Bayside Marina, 28-05, Cross Island Parkway, Queens, New York, 11360, United States"
864,Lyons Square Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.822626,-73.888339,"1001, Bryant Avenue, Bronx County, The Bronx, New York, 10459, United States"
865,"Adams Street Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/adams-street,40.704143,-73.987999,"DUMBO Historic District, Brooklyn Bridge, Dumbo, Brooklyn, Kings County, New York, 11242, United States"
866,Olinville Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.88433,-73.86701,"119th Street Canoe Launch, Bronx River Parkway, Williams Bridge, Bronx County, The Bronx, New York, 10467, United States"
867,Eastchester Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.869776,-73.852701,"1202, Adee Avenue, Bronx County, The Bronx, New York, 10469, United States"
868,120 Park Avenue POPS,Privately Owned Public Space,Shorenstein Realty Services,Year Round,Monday to Saturday: 7:30 am-9:30 pm; Sunday: 11:00 am-7:00 pm,Fully Accessible,Single-Stall All Gender Restroom(s),No,Security will grant access to restrooms.,,40.751936,-73.978306,"120, Park Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10016, United States"
869,Alley Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.746998,-73.745627,"Public School 213, 231-02, 67th Avenue, Queens, New York, 11364, United States"
870,100% Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.64679,-73.899478,"Glenwood Road & East 100th Street, Glenwood Road, Canarsie, Brooklyn, Kings County, New York, 11236, United States"
871,Quarry Ballfields,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.8502,-73.89,"2129, Hughes Avenue, East Tremont, Bronx County, The Bronx, New York, 10457, United States"
872,Rev J Polite Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.8269,-73.89781,"1173, Reverend James A. Polite Avenue, Charlotte Gardens, Bronx County, The Bronx, New York, 10459, United States"
873,"Sunset Park Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Partially Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/sunset-park,40.64592,-74.013631,"5114, 4th Avenue, Brooklyn, Kings County, New York, 11220, United States"
874,Houston St Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.722443,-73.991187,"Citi Bike - Stanton Street & Chrystie Street, Stanton Street, Manhattan Community Board 3, Manhattan, New York County, New York, 10002, United States"
875,Dean Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.680556,-73.972785,"531, Bergen Street, Prospect Heights, Brooklyn, Kings County, New York, 11217, United States"
876,Manhattan Beach Zone 2,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.576973,-73.944122,"Dana Borell Garden, Oriental Boulevard, Brooklyn, Kings County, New York, 11235, United States"
877,Bella Abzug Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.75632,-73.99974,"Paradis in the Park, Hudson Boulevard East, Manhattan Community Board 4, Manhattan, New York County, New York, 10018, United States"
878,"Phil ""Scooter"" Rizzuto Park",Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.694672,-73.821523,"125-01, 95th Avenue, Morris Park, Queens, New York, 11419, United States"
879,Coney Island Beach Zone 5a,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.572844,-73.980755,"Tom's Coney Island, Riegelmann Boardwalk, Coney Island, West Brighton, Kings County, New York, 11224, United States"
880,,,,,,,,,,,,,
881,"Auburndale Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/auburndale,40.773755,-73.796343,"Auburndale, 25-55, Francis Lewis Boulevard, Queens, New York, 11358, United States"
882,174 St Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.693378,-73.778124,"Marne Place, Queens County, New York, 11433, United States"
883,Central Park Ice Rinks,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.767815,-73.97449,"Wollman Rink, Center Drive, Manhattan, New York County, New York, 10106, United States"
884,P.S. 279 Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.644594,-73.893274,"Public School 279, 1070, East 104th Street, Canarsie, Brooklyn, Kings County, New York, 11236, United States"
885,Ten Mile River Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.829819,-73.952661,"Riverside Walk, Hamilton Heights, Manhattan, New York County, New York, 10031, United States"
886,"Williamsburgh Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/williamsburgh,40.706939,-73.957556,"Williamsburg Branch Brooklyn Public Library, 240, Division Avenue, Brooklyn, Kings County, New York, 11211, United States"
887,"Washington Heights Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/washington-heights,40.834557,-73.939712,"Washington Heights Library, 1000, Saint Nicholas Avenue, Manhattan Community Board 12, Manhattan, New York County, New York, 10032, United States"
888,Matthew P. Sapolin Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.777704,-73.984058,"Public School M199 Jesse Isador Straus, 270, West 70th Street, Upper West Side, Manhattan, New York County, New York, 10023, United States"
889,Morningside Playground 123,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.80998,-73.955946,"400, West 123rd Street, Manhattan Community Board 9, Manhattan, New York County, New York, 10026, United States"
890,Castlewood Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.749939,-73.720844,"Public School Q186 Castlewood, 252nd Street, Glen Oaks Village, Queens, New York, 11426, United States"
891,Orchard Beach Pavilion,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",,,,,,40.867182,-73.793846,"Orchard Beach Boardwalk, Bronx County, The Bronx, New York, 10464, United States"
892,Edenwald Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.884092,-73.845163,"1880, Schieffelin Avenue, Eastchester Heights, Bronx County, The Bronx, New York, 10466, United States"
893,Maspeth Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.730899,-73.925415,"Kosciuszko Bridge, Brooklyn-Queens Expressway, Queens, New York, 11104, United States"
894,Brooklyn Bridge Park Pier 5 - Boathouse/Uplands,Park,Brooklyn Bridge Park,Year Round,,Fully Accessible,,,,,40.695841,-73.999127,"Brooklyn Bridge Park Boathouse, Brooklyn Bridge Park Greenway, Brooklyn, Kings County, New York, 11201, United States"
895,Mellett Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.597078,-73.957392,"2159, East 13th Street, Brooklyn, Kings County, New York, 11229, United States"
896,,,,,,,,,,,,,
897,Bildersee Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.635952,-73.912189,"902, East 81st Street, Paerdegat, Brooklyn, Kings County, New York, 11236, United States"
898,Marine Park Zone 6,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.604007,-73.930594,"The Salt Marsh Nature Center, 3200, Avenue U, Brooklyn, Kings County, New York, 11234, United States"
899,Robert E. Venable Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.674409,-73.865074,"642, Eldert Lane, Brooklyn, Kings County, New York, 11208, United States"
900,,,,,,,,,,,,,
901,Playground For All Children,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.74089,-73.84951,"111-01, Corona Avenue, Queens, New York, 11368, United States"
902,,,,,,,,,,,,,
903,Bayswater Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.598771,-73.767504,"701, Bay 32nd Street, Edgemere, Queens, New York, 11691, United States"
904,Central Park West,Park,Central Park Conservancy,Seasonal,7:30am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.769186,-73.980801,"59th Street–Columbus Circle, Central Park Outer Loop, Manhattan, New York County, New York, 10107, United States"
905,East River Waterfront Esplanade Zone 1,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.704736,-74.003405,"Watermark Bar, Pier 15, Manhattan Community Board 1, Manhattan, New York County, New York, 10038, United States"
906,"Stephen A. Schwarzman Building, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 8:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 6:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/schwarzman,40.753213,-73.982232,"Stephen A. Schwarzman Building, 476, 5th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10018, United States"
907,,,,,,,,,,,,,
908,St Mary's Playground East,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.809905,-73.910486,"440, Jackson Avenue, Bronx County, The Bronx, New York, 10455, United States"
909,"Maspeth Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,,https://www.queenslibrary.org/about-us/locations/maspeth,40.727004,-73.893106,"Maspeth Branch Queens Borough Public Library, 69-70, Grand Avenue, Queens, New York, 11378, United States"
910,"North Hills Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/north-hills,40.759262,-73.731839,"North Hills Branch Queens Borough Public Library, 57-04, Marathon Parkway, Little Neck, Queens, New York, 11362, United States"
911,Shore Road Park Zone 2,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.632076,-74.038741,"Shore Road & 79th Street, Shore Road, Brooklyn, Kings County, New York, 11209, United States"
912,"Steinway Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/steinway,40.776835,-73.909458,"Steinway Branch Queens Borough Public Library, 21-51, 31st Street, Steinway, Queens, New York, 11105, United States"
913,Harry Maze Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.643332,-73.923243,"552, East 56th Street, Brooklyn Community District 17, Brooklyn, Kings County, New York, 11203, United States"
914,Lincoln Terrace Park / Arthur S. Somers Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.66637,-73.927571,"Lincoln Terrace Park / Arthur S. Somers Playground, Rochester Avenue, Brooklyn, Kings County, New York, 11213, United States"
915,Twin Island,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.870484,-73.786588,"Orchard Beach Boardwalk, Bronx County, The Bronx, New York, 10464, United States"
916,Williamsbridge Oval,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.876665,-73.878572,"Williamsbridge Oval Recreation Center, 3324, Reservoir Oval East, Norwood, Bronx County, The Bronx, New York, 10467, United States"
917,"Kips Bay Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/kips-bay,40.743818,-73.979903,"Kips Bay Library, 446, 3rd Avenue, Manhattan Community Board 6, Manhattan, New York County, New York, 10016, United States"
918,Tecumseh Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.781912,-73.978712,"371, Amsterdam Avenue, Manhattan Community Board 7, Manhattan, New York County, New York, 10024, United States"
919,"Todt Hill-Westerleigh Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm  
Wednesday: 10:00 am - 7:00 pm   
Thursday: 10:00 am - 7:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,No,Changing Table outside restroom,https://www.nypl.org/locations/todt-hill-westerleigh,40.60961,-74.148523,"Todt Hill-Westerleigh Library, 2550, Victory Boulevard, Staten Island, Richmond County, New York, 10314, United States"
920,Sixteen Sycamores Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.686723,-73.980995,"449, State Street, Brooklyn, Kings County, New York, 11217, United States"
921,Calvert Vaux Park Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.58813,-73.990264,"27th Avenue, Bath Beach, Kings County, New York, 11214, United States"
922,Horseshoe Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.824235,-73.897815,"885, East 165th Street, Bronx County, The Bronx, New York, 10459, United States"
923,East River Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.789193,-73.937893,"FDR Drive, East Harlem, Manhattan, New York County, New York, 10029, United States"
924,Clove Lakes Cafe,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.617665,-74.108137,"Park Drive, Sunnyside, Staten Island, Richmond County, New York, 10301, United States"
925,"Glen Oaks Library, QPL",Library,QPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/glen-oaks,40.745181,-73.714847,"Glen Oaks Branch Queens Borough Public Library, 256-04, Union Turnpike, Glen Oaks, Queens, New York, 11004, United States"
926,Playground 286,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.590608,-73.938475,"Public School 286, Haring Street, Sheepshead Bay, Brooklyn, Kings County, New York, 11235, United States"
927,"Pelham Bay Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/pelham-bay,40.844326,-73.827902,"3060, Middletown Road, Spencer Estates, Bronx County, The Bronx, New York, 10461, United States"
928,J. Hood Wright Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.846453,-73.940764,"J. Hood Wright Recreation Center, 351, Fort Washington Avenue, Manhattan Community Board 12, Manhattan, New York County, New York, 10033, United States"
929,Spirit Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.761387,-73.941316,"Public School 76, 10th Street, Queensbridge, Queens County, New York, 11101, United States"
930,,,,,,,,,,,,,
931,Willow Lake Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.722504,-73.837091,"Public School 196, 71-25, 113th Street, Forest Hills, Queens, New York, 11375, United States"
932,Bush Terminal Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.653348,-74.019219,"1st Avenue, Sunset Park, Kings County, New York, 11220, United States"
933,Coney Island Beach Zone 7a,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.571665,-73.992294,"2527, Riegelmann Boardwalk, Coney Island, Brooklyn, Kings County, New York, 11224, United States"
934,The Great Hill,Park,Central Park Conservancy,Seasonal,7am - dusk,Not Accessible,Multi-Stall W/M Restrooms,,,,40.797329,-73.959063,"Great Hill Oval, Manhattan, New York County, New York, United States"
935,Story Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.822979,-73.863106,"875, Taylor Avenue, Bronx County, The Bronx, New York, 10473, United States"
936,Golconda Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.697972,-73.98284,"Brooklyn-Queens Expressway, Brooklyn Navy Yard, Brooklyn, Kings County, New York, 11251, United States"
937,Breukelen Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.653733,-73.893975,"Public School 260, 875, Williams Avenue, New Lots, Brooklyn, Kings County, New York, 11207, United States"
938,River Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.843174,-73.877344,"2113, Boston Road, Lambert Houses, Bronx County, The Bronx, New York, 10460, United States"
939,Curtis Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.640805,-73.917601,"529, East 81st Street, Paerdegat, Brooklyn, Kings County, New York, 11236, United States"
940,Betsy Head Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.661939,-73.914409,"2132, Strauss Street, Brownsville, Brooklyn, Kings County, New York, 11212, United States"
941,"Highlawn Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/highlawn,40.605701,-73.986248,"Brooklyn Public Library, 1664, West 13th Street, Brooklyn, Kings County, New York, 11223, United States"
942,Grand Army Plaza APT,Public Plaza,NYC DOT/JCDecaux,Year Round,8am-8pm,Fully Accessible,Single-Stall All Gender Restroom(s),No,This unit costs $.25 to use.,https://portal.311.nyc.gov/article/?kanumber=KA-02226,40.672237,-73.969074,"Flatbush Avenue & Grand Army Plaza, Flatbush Avenue, Prospect Heights, Brooklyn, Kings County, New York, 11225, United States"
943,Dyker Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.61308,-74.013153,"Dyker Park Bocce Court, 86th Street, Brooklyn, Kings County, New York, 11223, United States"
944,Fort Tryon Park Zone 1,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",,,,,,40.860769,-73.93276,"The Bonnefont, 1, Margaret Corbin Drive, Fort George, Manhattan, New York County, New York, 10040, United States"
945,Detective Keith L Williams Park,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.70398,-73.785145,"Liberty Avenue & 173rd Street, Liberty Avenue, Hillside, Queens, New York, 11433, United States"
946,Stockton Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.697121,-73.948607,"110, Martin Luther King Place, Brooklyn, Kings County, New York, 11206, United States"
947,Wildlife Sanctuary & 119th St. Tennis Courts,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.811329,-73.965653,"Over the Tracks 119th Street Tennis Courts, Henry Hudson Parkway, Morningside Heights, Manhattan, New York County, New York, 10115, United States"
948,Gun Hill Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.874675,-73.865424,"736, Magenta Street, Williams Bridge, Bronx County, The Bronx, New York, 10467, United States"
949,"Chatham Square Library, NYPL",Library,NYPL,Year Round,"Sunday: Closed 
Monday: 9:00 am - 7:00 pm 
Tuesday: 9:00 am - 7:00 pm 
Wednesday: 9:00 am - 7:00 pm 
Thursday: 9:00 am - 7:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/chatham-square,40.713341,-73.996491,"33, East Broadway, Manhattan Community Board 3, Manhattan, New York County, New York, 10002, United States"
950,Rolph Henry Playground,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.655685,-73.947495,"SUNY Downstate University Police Department, 750, Clarkson Avenue, Brooklyn Community District 17, Brooklyn, Kings County, New York, 11226, United States"
951,Alley Pond Park Zone 2,Park,NYC Parks,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.741956,-73.739958,"Green, Alley Pond Park State Route, Queens, New York, 11426, United States"
952,"Fort Hamilton Library, BPL",Library,BPL,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/fort-hamilton,40.616381,-74.031371,"Brooklyn Public Library, 9424, 4th Avenue, Fort Hamilton, Brooklyn, Kings County, New York, 11209, United States"
953,Newtown Playground,Park,NYC Parks,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.73625,-73.869826,"92-02, 56th Avenue, Elmhurst, Queens, New York, 11373, United States"
954,Prospect Park Indoor Tennis,Park,NYC Parks Concessionaire,Year Round,Concession Operating Hours,,,,,,40.651267,-73.970257,"Parkside Avenue, Flatbush, Brooklyn, Kings County, New York, 11218, United States"
955,,,,,,,,,,,,,
956,725 Fifth Avenue POPS,Privately Owned Public Space,The Trump Organization,Year Round,Everyday 8:00 am-10:00 pm,,Multi-Stall W/M Restrooms,"""Yes, in women's restroom only""",,,40.762319,-73.973895,"Trump Tower, 721/725, 5th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10022, United States"
957,,,,,,,,,,,,,
